2017-07-16 17:27:57 install mount:i386 <none> 2.29.2-1
2017-07-16 17:27:57 status half-installed mount:i386 2.29.2-1
2017-07-16 17:27:57 status unpacked mount:i386 2.29.2-1
2017-07-16 17:27:57 status unpacked mount:i386 2.29.2-1
2017-07-16 17:27:57 install util-linux:i386 <none> 2.29.2-1
2017-07-16 17:27:57 status half-installed util-linux:i386 2.29.2-1
2017-07-16 17:27:57 status unpacked util-linux:i386 2.29.2-1
2017-07-16 17:27:57 status unpacked util-linux:i386 2.29.2-1
2017-07-16 17:27:57 install liblzma5:i386 <none> 5.2.2-1.2+b1
2017-07-16 17:27:57 status half-installed liblzma5:i386 5.2.2-1.2+b1
2017-07-16 17:27:57 status unpacked liblzma5:i386 5.2.2-1.2+b1
2017-07-16 17:27:57 status unpacked liblzma5:i386 5.2.2-1.2+b1
2017-07-16 17:27:57 install zlib1g:i386 <none> 1:1.2.8.dfsg-5
2017-07-16 17:27:57 status half-installed zlib1g:i386 1:1.2.8.dfsg-5
2017-07-16 17:27:57 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2017-07-16 17:27:57 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2017-07-16 17:27:57 startup packages configure
2017-07-16 17:27:57 configure gcc-6-base:i386 6.3.0-18 <none>
2017-07-16 17:27:57 status unpacked gcc-6-base:i386 6.3.0-18
2017-07-16 17:27:57 status half-configured gcc-6-base:i386 6.3.0-18
2017-07-16 17:27:57 status installed gcc-6-base:i386 6.3.0-18
2017-07-16 17:27:57 configure lsb-base:all 9.20161125 <none>
2017-07-16 17:27:57 status unpacked lsb-base:all 9.20161125
2017-07-16 17:27:57 status half-configured lsb-base:all 9.20161125
2017-07-16 17:27:57 status installed lsb-base:all 9.20161125
2017-07-16 17:27:57 configure sensible-utils:all 0.0.9 <none>
2017-07-16 17:27:57 status unpacked sensible-utils:all 0.0.9
2017-07-16 17:27:57 status half-configured sensible-utils:all 0.0.9
2017-07-16 17:27:57 status installed sensible-utils:all 0.0.9
2017-07-16 17:27:57 configure ncurses-base:all 6.0+20161126-1 <none>
2017-07-16 17:27:57 status unpacked ncurses-base:all 6.0+20161126-1
2017-07-16 17:27:57 status unpacked ncurses-base:all 6.0+20161126-1
2017-07-16 17:27:57 status half-configured ncurses-base:all 6.0+20161126-1
2017-07-16 17:27:57 status installed ncurses-base:all 6.0+20161126-1
2017-07-16 17:27:57 configure libsemanage-common:all 2.6-2 <none>
2017-07-16 17:27:57 status unpacked libsemanage-common:all 2.6-2
2017-07-16 17:27:57 status unpacked libsemanage-common:all 2.6-2
2017-07-16 17:27:57 status half-configured libsemanage-common:all 2.6-2
2017-07-16 17:27:57 status installed libsemanage-common:all 2.6-2
2017-07-16 17:27:57 configure libaudit-common:all 1:2.6.7-2 <none>
2017-07-16 17:27:57 status unpacked libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:57 status unpacked libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:57 status half-configured libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:57 status installed libaudit-common:all 1:2.6.7-2
2017-07-16 17:27:57 configure libc6:i386 2.24-11 <none>
